Abbey Road,539081,183352,51.5319519954729,0.00372337109833635,"3",E15 3NB
Abbey Wood,547297,179002,51.4907842954371,0.120271970640651,"4",SE2 9RH
Acton Central,520613,180299,51.5087573512534,-0.263430195325689,"2",W3 6BH
Acton Main Line,520296,181196,51.5168864951629,-0.267689948014248,"3",W3 9EH
Acton Town,519457,179639,51.5030709863634,-0.280302696832724,"3",W3 8HN
Addington Village,537082,163744,51.356238539495,-0.032665100332062,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.3798081721677,-0.0732132825198677,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.4358158161663,0.126444638720461,"5",DA5 3HP
Aldgate,533629,181246,51.5143422574978,-0.0756269123224863,"1",EC3N 1AH
Aldgate East,533809,181333,51.5150815056987,-0.0730014624207396,"1",E1 7PT
Alexandra Palace,530300,190498,51.598262628606,-0.120148971360812,"3",N22 7ST
All Saints,538012,180933,51.5104769064124,-0.01262488536035,"2",E14 0EH
Alperton,518025,183849,51.5412087864384,-0.299515753475578,"4",HA0 4LL
Amersham,496454,198181,51.6741283283427,-0.606513767877791,"9",HP6 5AZ
Ampere Way,530674,166476,51.3822992198881,-0.123636798461907,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.4125166137511,-0.0651370998790191,"4",SE20 8PY
Angel,531497,183263,51.5329678453984,-0.105581448303789,"1",N1 8XB
Angel Road,535204,192202,51.6124202424758,-0.048732919239143,"4",N18 3AY
Archway,529356,186827,51.5654903154596,-0.135121575621473,"2,3",N19 5RQ
Arena,535192,167620,51.3915226589885,-0.0583185498869123,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.6162299245514,-0.134270217721849,"4",N11 1AN
Arsenal,531429,186107,51.5585412055997,-0.105499932961186,"2",N5 1LP
Avenue Road,535764,169335,51.4067979043154,-0.0494469369736634,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.5231293660588,-0.156904192986185,"1",NW1 5LA
Balham,528482,173195,51.443182314397,-0.152685161993261,"3",SW12 9SG
Bank,532704,181111,51.5133469191418,-0.0890001234943747,"1",EC3V 3LA
Banstead,524590,160426,51.3292927759057,-0.213132333541225,"6",SM7 1RB
Barbican,532079,181859,51.5202151261078,-0.0977215780905023,"1",EC1A 4JA
Barking,544405,184343,51.5395212483974,0.0808316104030654,"4",IG11 8TU
Barkingside,544788,189510,51.5858507614628,0.0884766401059263,"4",IG6 1NB
Barnehurst,550206,176193,51.4647805533263,0.160948023946885,"6",DA7 6HQ
Barnes,522209,175705,51.4671273786909,-0.242033058624954,"3",SW13 0LW
Barnes Bridge,521478,176255,51.4722276417547,-0.252362613331169,"3",SW13 0NR
Barons Court,524133,178322,51.490228334902,-0.213430142417892,"2",W14 9DP
Battersea Park,528703,176999,51.4773180830314,-0.148123760392711,"2",SW8 4NB
Battersea Power Station,529122,177252,51.4794963437573,-0.142001351364678,"1",
Bayswater,525845,180799,51.5121109831796,-0.187901571878205,"1",W2 4QH
Beckenham Hill,538002,171379,51.4246260335641,-0.0164957619689127,"4",SE6 3NU
Beckenham Junction,537403,169840,51.4109416018847,-0.0257017391145475,"4",BR3 1HY
Beckenham Road,536177,169650,51.4095296798614,-0.043391921968959,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.5143767330068,0.0615252971597842,"3",E6 5NT
Beckton Park,542697,180887,51.5089008861867,0.0548219390453979,"3",E6 5NE
Becontree,547598,184442,51.539585619744,0.126880292693594,"5",RM9 4TP
Beddington Lane,529367,167215,51.3892396514698,-0.142138433190548,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.4009613563427,-0.17849647220509,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.4338648626461,-0.0204117702937992,"3",SE6 3BT
Belmont,525500,162098,51.344119599942,-0.199489250872962,"5",SM2 6BH
Belsize Park,527399,185075,51.5501906117819,-0.163974491025519,"2",NW3 2AL
Belvedere,549498,179197,51.4919592548785,0.152033793292314,"5",DA17 6JW
Bermondsey,534461,179445,51.4979606775063,-0.0643300898115236,"2",SE16 4RX
Berrylands,519728,168040,51.3987679490215,-0.280321472884522,"5",KT5 8LT
Bethnal Green,534995,182712,51.5271916531221,-0.055392111450162,"2",E2 0ET
Bethnal Green Rail,534683,182380,51.5242826437105,-0.0600137423991465,"2",E2 6JL
Bexley,549399,173502,51.4408147761368,0.148203914272993,"6",DA5 1AQ
Bexleyheath,548294,176000,51.4635501788196,0.133362966072476,"5",DA7 4AA
Bickley,542304,168799,51.4003796444885,0.0443040316998265,"5",BR1 2EB
Birkbeck,535297,168996,51.4038630046597,-0.0562862355401811,"4",BR3 4TA
Blackfriars,531738,180890,51.511586761695,-0.102995384624505,"1",EC4V 4DD
Blackheath,539604,175961,51.4654080272294,0.0083365947125195,"3",SE3 9LE
Blackhorse Lane,534362,166844,51.3847460703675,-0.0705339476144647,"3,4,5,6",CR0 6NL
Blackhorse Road,535914,189256,51.5857765648463,-0.0396257114650528,"3",E17 6JJ
Blackwall,538394,180649,51.507831531335,-0.00723516587766623,"2",E14 9QB
Bond Street,528497,181053,51.5137972823274,-0.149613608531646,"1",W1C 2HU
Borough,532379,179734,51.5010487177222,-0.0941973226385831,"1",SE1 1JX
Boston Manor,516391,178755,51.4957650058481,-0.324747182622381,"4",TW8 9LQ
Bounds Green,529996,191466,51.6070317206175,-0.124177064734796,"3,4",N11 2EU
Bow Church,537414,182824,51.5276151727271,-0.0204998991771464,"2",E3 3AA
Bow Road,537148,182753,51.5270417695097,-0.0243595906326814,"2",E3 4DH
Bowes Park,530299,191498,51.6072493212509,-0.11979221834416,"3,4",N22 8NL
Brent Cross,523905,187927,51.5765988683931,-0.21333583786631,"3",NW11 9UA
Brentford,517462,177864,51.4875358024268,-0.309622531111568,"4",TW8 9LF
Brentwood,559321,193036,51.6136108299031,0.299672821458218,"7",CM14 4EW
Brimsdown,536297,196997,51.6552445662243,-0.0310922768910031,"5",EN3 7NA
Brixton,531076,175437,51.4627366169782,-0.114552096829228,"2",SW9 8HE
Brockley,536405,175801,51.464749603367,-0.0377482504677788,"2",SE4 2RW
Bromley North,540395,169699,51.4089423420678,0.0172354519587102,"4",BR1 3NN
Bromley South,540431,168705,51.4000013198264,0.0173595804973149,"5",BR1 1LX
Bromley-by-Bow,538034,182532,51.5248401837009,-0.0116823743530454,"2,3",E3 3BT
Brondesbury,524718,184460,51.5452620328123,-0.202838483342792,"2",NW6 7QL
Brondesbury Park,524202,183898,51.5403250236685,-0.210473944108078,"2",NW6 6RP
Broxbourne,537407,207240,51.7470155527298,-0.0110240837822528,"9",EN10 7AW
Bruce Grove,533758,190115,51.5940111336342,-0.0703989893622801,"3",N17 8AD
Buckhurst Hill,541768,193957,51.6265767400473,0.0467125414287692,"5",IG9 5ET
Burnham,494007,181378,51.5235039896775,-0.646388208335045,"",SL1 6JT
Burnt Oak,520303,190728,51.6025514817376,-0.264330708200811,"4",HA8 0LA
Bush Hill Park,533696,195396,51.6414818485445,-0.069280412226131,"5",EN1 1BA
Bushey,511860,195318,51.6455435325774,-0.384721532726082,"8",WD19 4ST
Caledonian Road,530568,184899,51.5478852498281,-0.118360861064694,"2",N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.5432843893817,-0.115204855948814,"2",N1 0SL
Cambridge Heath,534855,183250,51.5320596731624,-0.0572032006374023,"2",E2 7NA
Camden Road,529140,184191,51.5418510088565,-0.139203111401044,"2",NW1 9LQ
Camden Town,528920,183976,51.5399691216041,-0.142452379876489,"2",NW1 8NH
Canada Water,535399,179493,51.4981683312509,-0.0508071208490972,"2",SE16 7BB
Canary Wharf,537558,180153,51.5035783751289,-0.0194668401393244,"2",E14 4QS
Canning Town,539454,181350,51.5138703035051,0.00830563274876439,"3",E16 1DQ
Cannon Street,532623,180888,51.5113619437019,-0.0902505264150348,"1",EC4N 6AP
Canonbury,532355,184979,51.5481882362124,-0.0925741953281791,"2",N1 2PG
Canons Park,518208,191246,51.6076500902853,-0.294391591494146,"5",HA8 6RN
Carpenders Park,511826,193386,51.6281860887584,-0.385829315127033,"7",WD19 7DT
Carshalton,527737,164858,51.3684260954417,-0.166398326395598,"5",SM5 2HT
Carshalton Beeches,527552,163625,51.3573865653231,-0.169496324469362,"5",SM5 3LG
Castle Bar Park,515853,181770,51.5229731248863,-0.331504069938095,"4",W7 1AY
Caterham,534099,155422,51.282162696229,-0.0786072982130978,"6",CR3 6LB
Catford,537245,173544,51.4442648711703,-0.0265384985567016,"3",SE6 4XT
Catford Bridge,537363,173595,51.44469458702,-0.0248218759100765,"3",SE6 4RE
Centrale,532067,165785,51.3757673000302,-0.103888103221632,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.5680470919696,0.12890111256818,"5",RM6 4BE
Chafford Hundred,558922,178770,51.4855549696471,0.287475705548031,"7",RM16 6QQ
Chalfont and Latimer,499610,197550,51.6679065638921,-0.561067758943182,"8",HP7 9PR
Chalk Farm,528126,184421,51.5441488373465,-0.15373306950608,"2",NW3 2BP
Chancery Lane,531096,181642,51.5184938358199,-0.111962026762417,"1",WC1V 6DR
Charing Cross,530234,180492,51.5083584281862,-0.124802937233044,"1",WC2N 5HS
Charlton,541108,178387,51.4868350415972,0.030941644861415,"3",SE7 7AB
Cheam,524444,163334,51.3554598941858,-0.214211280927971,"5",SM3 8RZ
Chelsfield,546944,164021,51.3562647640171,0.108984120416923,"6",BR6 6EU
Chesham,496048,201650,51.7053790233013,-0.611429635297931,"9",HP5 1DH
Cheshunt,536652,202307,51.7028732783417,-0.0238874154296612,"8",EN8 9AQ
Chessington North,518415,164168,51.3642429522672,-0.300476123597851,"6",KT9 2RT
Chessington South,517974,163319,51.3567040295492,-0.307089015193886,"6",KT9 2DD
Chigwell,543835,193045,51.6178579997418,0.0761792153523028,"4",IG7 6NT
Chingford,539173,194628,51.6332533918814,0.00951432553087975,"5",E4 6AL
Chipstead,527689,158275,51.3092747067641,-0.169445867834642,"6",CR5 3TD
Chislehurst,543205,169405,51.4055985053297,0.057491821647749,"5",BR7 5NN
Chiswick,520438,177182,51.4807810596151,-0.267013317708247,"3",W4 2QE
Chiswick Park,520352,178692,51.4943702779427,-0.267736917992298,"3",W4 5NE
Chorleywood,502596,196092,51.6542650809277,-0.518333910857157,"7",WD3 5ND
Church Street,532041,165555,51.3737063933963,-0.104346828268119,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.5139349006601,-0.103618448552803,"1",EC4M 7JH
Clapham Common,529428,175291,51.4618034458079,-0.138314901387923,"2",SW4 7AJ
Clapham High Street,529824,175709,51.4654692992225,-0.132464501562701,"2",SW4 6DQ
Clapham Junction,527198,175520,51.4643665077894,-0.170315000544166,"2",SW11 2QP
Clapham North,530003,175652,51.4649160047291,-0.129910061914643,"2",SW4 7TS
Clapham South,528782,174259,51.452676249205,-0.147984068330292,"2,3",SW12 9DU
Clapton,534748,186531,51.5615689964249,-0.0574894582650098,"2",E5 9JP
Clock House,536367,169545,51.4085404968969,-0.0407020924973615,"4",BR3 4PR
Cockfosters,528087,196424,51.6520242362042,-0.149916709772051,"5",EN4 0DZ
